"lang_id","language","rec_id","recommendation","rec_part","rec_text"
1,"english",2,"Land preparation",1,"You're currently doing a good job,"
1,"english",2,"Land preparation",2,"don't plough and"
1,"english",2,"Land preparation",3,"for best results, plough manually and"
1,"english",2,"Land preparation",4,"for best results, use a tractor to plough and"
1,"english",2,"Land preparation",5,"don't ridge."
1,"english",2,"Land preparation",6,"ridge manually."
1,"english",2,"Land preparation",7,"ridge using a tractor."
1,"english",2,"Land preparation",8,"Changing your current practice won't lead to more income."
1,"english",2,"Land preparation",9,"For best results, I recommend "
1,"english",2,"Land preparation",10,"ploughing then "
1,"english",2,"Land preparation",11,"ridging"
1,"english",2,"Land preparation",12,"ploughing, but don't ridge. Plant on a flat piece of land."
1,"english",2,"Land preparation",13,"For best results, directly ridge your land"
1,"english",2,"Land preparation",14,"manually"
1,"english",2,"Land preparation",15,"using a tractor"
1,"english",2,"Land preparation",16,"don't plough."
1,"english",2,"Land preparation",17,"For best results, don't plough and don't ridge. Ensure you plant on a flat piece of land."
1,"english",2,"Land preparation",18,"The cost of preparing your farm will not change."
1,"english",2,"Land preparation",19,"This will"
1,"english",2,"Land preparation",20,"cost by"
1,"english",2,"Land preparation",21,"Your harvest and income will also not change"
1,"english",2,"Land preparation",22,"Your current harvest won't change, however your income will go up by "
1,"english",2,"Land preparation",23,"Your harvest will"
1,"english",2,"Land preparation",24,"decrease"
1,"english",2,"Land preparation",25,"increase"
1,"english",2,"Land preparation",26,"by"
1,"english",2,"Land preparation",27,"tonnes"
1,"english",2,"Land preparation",28,"your income won't change"
1,"english",2,"Land preparation",29,"but"
1,"english",2,"Land preparation",30,"and"
1,"english",2,"Land preparation",31,"Your current income will increase by"
2,"kiswahili",2,"Land preparation",1,"Unafanya kazi nzuri kwa sasa"
2,"kiswahili",2,"Land preparation",2,"Usilime na"
2,"kiswahili",2,"Land preparation",3,"Kwa matokeo bora, lima kwa mkono na"
2,"kiswahili",2,"Land preparation",4,"Kwa matokeo bora, lima kwa trekta na"
2,"kiswahili",2,"Land preparation",5,"usiweke matuta."
2,"kiswahili",2,"Land preparation",6,"uweke matuta kwa mkono."
2,"kiswahili",2,"Land preparation",7,"uweke matuta kwa kutumia trekta."
2,"kiswahili",2,"Land preparation",8,"Kubadilisha matendo yako ya sasa hakutaleta mapato mengi."
